frameTime,meanFrameTumorCells,sdFrameTumorCells,meanNecrotic,sdNecrotic,meanQuiescent,sdQuiescent,meanProliferative2,sdProliferative2,meanHypoxic,sdHypoxic,meanApoptotic,sdApoptotic,meanProliferative1,sdProliferative1,meanNormoxic,sdNormoxic,meanMigrate,sdMigrate,meanKilled,sdKilled
236,98.7,11.9819,8.9,1.96921,64.5,8.47545,8.8,3.25918,0.2,0.632456,0.6,0.699206,15.7,6.18331,487,8.86942,0,0,0,0
237,100,11.9257,9.1,1.96921,64.8,9.41394,8.5,4.06202,0.1,0.316228,0.7,0.823273,16.8,6.94102,486.1,8.84998,0,0,0,0
238,100.7,11.8701,9.2,2.04396,65.3,9.4757,8.6,4.40202,0.2,0.421637,0.9,0.875595,16.5,6.5192,485.3,8.80719,0,0,0,0
239,101.9,12.5914,9.4,2.1187,67,8.09664,7.9,3.63471,0.4,0.699206,0.8,0.788811,16.4,6.67,484.8,8.57386,0,0,0,0
240,102.9,12.5914,9.8,1.93218,68.1,7.5196,7.5,3.92287,0.4,0.966092,0.7,0.823273,16.4,6.6366,483.6,7.69126,0,0,0,0
241,103.7,12.5879,10.2,1.75119,68.6,7.89092,7.8,4.39191,0.5,0.527046,0.7,0.823273,15.9,6.7897,482.4,7.80598,0,0,0,0
242,104.3,12.7632,10.7,1.76698,69.3,8.62876,7.9,4.7481,0.2,0.421637,0.6,0.516398,15.6,6.07728,481.4,7.86271,0,0,0,0
243,105.3,13.1238,10.9,1.52388,69.1,9.53881,8.2,4.41714,0.3,0.483046,0.6,0.516398,16.2,7.20802,480.6,7.97496,0,0,0,0
244,106.1,13.4119,11.2,1.39841,68.9,9.78037,8.5,3.92287,0.1,0.316228,0.6,0.516398,16.8,6.54557,480.3,7.97287,0,0,0,0
245,106.8,13.7582,11.3,1.56702,69.1,9.87083,8.2,3.3928,0.3,0.674949,0.5,0.527046,17.4,6.32807,479.6,7.93305,0,0,0,0
246,107.7,14.2365,11.6,1.77639,70.2,9.0037,8.6,2.63312,0.1,0.316228,0.4,0.516398,16.8,7.95543,478.9,8.07534,0,0,0,0
247,108.3,14.9373,11.7,1.70294,69.9,8.15748,9.1,2.23358,0.3,0.483046,0.3,0.483046,17,8.60233,477.8,8.41691,0,0,0,0
248,108.9,15.0809,12,1.82574,70.8,8.89194,9.6,2.1187,0.6,0.699206,0.3,0.483046,15.6,7.10555,477.3,8.26035,0,0,0,0
249,109.6,15.6148,12.6,2.06559,71.5,9.28858,9.9,2.55821,0.5,0.849837,0.3,0.483046,14.8,7.67101,476.5,8.40965,0,0,0,0
250,110.8,15824,13.1,2.23358,71.3,9056,10.1,1.72884,0.2,0.421637,0.5,0.707107,15.6,8.78382,475.6,8.78382,0,0,0,0
251,111.6,16.2084,13.3,2.35938,71.8,9.29516,10,2.49444,0.3,0.483046,0.4,0.516398,15.8,9.4962,474.9,8.26573,0,0,0,0
